year,session,title,abstract,author,doi
2009,N/A,A Novel Visualization Technique for Electric Power Grid Analytics.,N/A,"Pak Chung Wong,Kevin Schneider,Patrick Mackey,Harlan Foote,George Chin Jr.,Ross T. Guttromson,Jim Thomas",https://doi.org/10.1109/TVCG.2008.197
2009,N/A,"Visualization of Simulated Urban Spaces: Inferring Parameterized Generation of Streets, Parcels, and Aerial Imagery.",N/A,"Carlos A. Vanegas,Daniel G. Aliaga,Bedrich Benes,Paul Waddell",https://doi.org/10.1109/TVCG.2008.193
2009,N/A,Equalizer: A Scalable Parallel Rendering Framework.,N/A,"Stefan Eilemann,Maxim Makhinya,Renato Pajarola",https://doi.org/10.1109/TVCG.2008.104
2009,N/A,Real-Time Depth-of-Field Rendering Using Anisotropically Filtered Mipmap Interpolation.,N/A,"Sungkil Lee,Gerard Jounghyun Kim,Seungmoon Choi",https://doi.org/10.1109/TVCG.2008.106
2009,N/A,An Adaptive Correspondence Algorithm for Modeling Scenes with Strong Interreflections.,N/A,"Yi Xu,Daniel G. Aliaga",https://doi.org/10.1109/TVCG.2008.97
2009,N/A,Indexing and Retrieving Motions of Characters in Close Contact.,N/A,"Edmond S. L. Ho,Taku Komura",https://doi.org/10.1109/TVCG.2008.199
2009,N/A,Direct Forcing for Lagrangian Rigid-Fluid Coupling.,N/A,"Markus Becker,Hendrik Tessendorf,Matthias Teschner",https://doi.org/10.1109/TVCG.2008.107
2009,N/A,Computing Teichmüller Shape Space.,N/A,"Miao Jin,Wei Zeng,Feng Luo,Xianfeng Gu",https://doi.org/10.1109/TVCG.2008.103
2009,N/A,Quasi-Developable Mesh Surface Interpolation via Mesh Deformation.,N/A,"Kai Tang,Ming Chen",https://doi.org/10.1109/TVCG.2008.192
2009,N/A,"Guest Editor's Introduction: Special Section on Shape, Solid, and Physical Modeling.",N/A,Hong Qin,https://doi.org/10.1109/TVCG.2009.53
2009,N/A,Performing Efficient NURBS Modeling Operations on the GPU.,N/A,"Adarsh Krishnamurthy,Rahul Khardekar,Sara McMains,Kirk Haller,Gershon Elber",https://doi.org/10.1109/TVCG.2009.29
2009,N/A,ICCD: Interactive Continuous Collision Detection between Deformable Models Using Connectivity-Based Culling.,N/A,"Min Tang,Sean Curtis,Sung-Eui Yoon,Dinesh Manocha",https://doi.org/10.1109/TVCG.2009.12
2009,N/A,Surface Mapping Using Consistent Pants Decomposition.,N/A,"Xin Li,Xianfeng Gu,Hong Qin",https://doi.org/10.1109/TVCG.2008.200
2009,N/A,Bandwidth Selection and Reconstruction Quality in Point-Based Surfaces.,N/A,"Hao Wang,Carlos Eduardo Scheidegger,Cláudio T. Silva",https://doi.org/10.1109/TVCG.2009.13
2009,N/A,A Minimal Contouring Approach to the Computation of the Reeb Graph.,N/A,"Giuseppe Patanè,Michela Spagnuolo,Bianca Falcidieno",https://doi.org/10.1109/TVCG.2009.22
2009,N/A,An Efficient Solution to Systems of Multivariate Polynomial Using Expression Trees.,N/A,"Gershon Elber,Thomas A. Grandine",https://doi.org/10.1109/TVCG.2009.42
2009,N/A,A Compute Unified System Architecture for Graphics Clusters Incorporating Data Locality.,N/A,"Christoph Müller,Steffen Frey,Magnus Strengert,Carsten Dachsbacher,Thomas Ertl",https://doi.org/10.1109/TVCG.2008.188
2009,N/A,Vectorizing Cartoon Animations.,N/A,"Song-Hai Zhang,Tao Chen,Yi-Fei Zhang,Shi-Min Hu,Ralph R. Martin",https://doi.org/10.1109/TVCG.2009.9
2009,N/A,The Lattice-Boltzmann Method on Optimal Sampling Lattices.,N/A,"Usman R. Alim,Alireza Entezari,Torsten Möller",https://doi.org/10.1109/TVCG.2008.201
2009,N/A,Bas-Relief Generation Using Adaptive Histogram Equalization.,N/A,"Xianfang Sun,Paul L. Rosin,Ralph R. Martin,Frank C. Langbein",https://doi.org/10.1109/TVCG.2009.21
2009,N/A,Photorealistic Large-Scale Urban City Model Reconstruction.,N/A,"Charalambos Poullis,Suya You",https://doi.org/10.1109/TVCG.2008.189
2009,N/A,Hardware Accelerated Segmentation of Complex Volumetric Filament Networks.,N/A,"David Mayerich,John Keyser",https://doi.org/10.1109/TVCG.2008.196
2009,N/A,Using PVsolve to Analyze and Locate Positions of Parallel Vectors.,N/A,"Allen Van Gelder,Alex Pang",https://doi.org/10.1109/TVCG.2009.11
